,Date Local,NO2 Mean,O3 Mean,SO2 Mean,CO Mean
2408,2000-04-26,17.999999999999993,-0.0021249999999999984,2.783333,0.22708300000000003
2536,2000-04-27,8.75,0.0062920000000000025,2.0458335,0.16875
2665,2000-04-28,1.25,-0.0036670000000000036,2.2708335,-0.043749999999999956
2787,2000-04-29,1.9999999999999982,0.0032920000000000033,3.0333335,0.031249499999999986
3035,2000-04-30,4.416667000000002,0.007417,3.033333,0.06875000000000003
3306,2000-05-01,20.083333999999997,-0.024292,2.11875,0.5166670000000001
3350,2000-05-02,1.0000000000000036,0.008313,1.9354165,0.23124999999999996
3361,2000-05-03,-10.833333,0.022167,0.9083330000000001,-0.19166649999999996
3372,2000-05-04,-2.8333329999999997,0.009292000000000005,1.329167,0.08333299999999999
3383,2000-05-05,8.041667,-0.006333999999999999,1.408333,0.13124999999999998
3394,2000-05-06,2.2083340000000007,0.014957999999999999,1.322917,-0.006249999999999978
3405,2000-05-07,4.083332999999998,0.0004590000000000011,1.00625,0.03958299999999998
3416,2000-05-08,4.9166669999999995,0.011374999999999996,0.08541699999999985,0.10000000000000003
3427,2000-05-09,10.326087000000001,-0.021167000000000005,0.8412140000000001,0.13876850000000002
3317,2000-05-10,7.123189,-0.0025410000000000016,1.3589159999999998,0.0833335
3328,2000-05-11,6.2299245,-0.002978500000000002,2.7739585,0.11145824999999998
3339,2000-05-12,7.7862319999999965,-0.0099375,2.7282735,0.19103225000000004
601,2000-05-13,7.125,0.013791999999999999,2.2833335,0.10208299999999998
731,2000-05-14,6.913043,0.0049999999999999975,1.8359474999999998,0.155254
861,2000-05-15,4.0416659999999975,-0.002249999999999995,1.7895835,0.08541649999999995
991,2000-05-16,-4.489130000000001,0.008083,3.1203805,-0.00960150000000004
1122,2000-05-17,2.9999999999999982,0.0013330000000000009,2.4083335,0.09166649999999998
1253,2000-05-18,4.750000000000002,0.007667000000000007,2.289583,0.08958299999999997
1383,2000-05-19,6.541667,0.013165999999999994,2.4937500000000004,0.15625000000000006
1641,2000-05-20,9.875,0.017958,2.7104165,0.23124999999999996
1772,2000-05-21,10.852273,0.014792,2.5696969999999997,0.18523499999999998
1903,2000-05-22,6.75,0.011084000000000004,3.10625,0.1375
